avg_type,id,pos,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,pos_ecr.x,sd_ecr.x,pos_ecr.y,sd_ecr.y
average,14783,QB,130.7194,196.970292186106,4.79113333333334,14.86262,324.29522,35.4310666666667,0.374220000000001,83.92168,10,93,9,1,1,4.33,0.47,4.33,0.47
average,13589,QB,125.928266666667,186.973586304091,8.94580000000001,16.79808,309.58428,30.6399333333333,2.30968,69.21074,15,49,17,2,1,1,0,1,0
average,13116,QB,116.982466666667,171.873526840678,3.7764,16.78546,285.7924,21.6941333333333,2.29706,45.41886,28,50,32,3,1,2,0,2,0
average,13593,QB,113.206066666667,169.226407843733,4.84920000000001,12.40934,279.64688,17.9177333333333,-2.07906,39.27334,37,209,36,4,1,3,0,3,0
average,14782,QB,108.356866666667,162.78640580028,1.52393333333332,13.29922,268.26004,13.0685333333333,-1.18918,27.8865,55,180,55,5,1,10.33,1.25,10.33,1.25
average,15698,QB,106.832933333333,160.463430255786,0.0934666666666715,12.3066,264.54654,11.5446,-2.1818,24.173,59,215,57,6,1,17,1.63,17,1.63
average,12620,QB,106.739466666667,160.438246056398,0.615733333333324,12.35024,264.41504,11.4511333333333,-2.13816,24.0415,60,213,58,7,1,12.33,0.47,12.33,0.47
average,14777,QB,106.123733333333,155.594751551758,2.75720000000001,15.0444,258.98796,10.8354,0.555999999999999,18.61442,61,88,65,8,1,7,0,7,0
average,14779,QB,103.366533333333,154.269538967268,0.393533333333323,13.76812,254.84644,8.07820000000001,-0.720280000000001,14.4729,68,158,73,9,1,15.67,1.25,15.67,1.25
average,14056,QB,102.973,149.884898892317,3.30620000000002,15.51238,250.19584,7.68466666666669,1.02398,9.82230000000004,69,75,80,10,1,8,0,8,0
average,15237,QB,99.6668,152.273971710992,0.112666666666655,8.66132,249.46388,4.37846666666667,-5.82708,9.09034000000003,84,432,82,11,1,14.33,1.25,14.33,1.25
average,12611,QB,99.5541333333333,149.437535166281,4.26580000000001,12.01128,246.37686,4.26580000000001,-2.47712,6.00332000000003,85,235,91,12,1,9.33,0.47,9.33,0.47
average,10700,QB,95.2883333333333,147.515474633997,2.67513333333332,7.44418,240.37354,0,-7.04422,0,103,579,103,13,1,22,0,22,0
average,13590,QB,92.6132,138.630839554841,2.63373333333334,11.3214,228.82728,-2.67513333333332,-3.167,-11.54626,118,259,129,14,1,18,0.82,18,0.82
average,11644,QB,89.9794666666667,137.602368387515,0.451333333333338,9.36784,225.17434,-5.30886666666666,-5.12056,-15.1992,136,369,137,15,1,25.67,0.47,25.67,0.47
average,14778,QB,89.5281333333333,133.301818472868,0.00539999999999452,11.25092,220.51838,-5.7602,-3.23748,-19.85516,141,262,152,16,1,13,1.63,13,1.63
average,9431,QB,89.5227333333333,129.382390050939,1.05306666666667,14.51906,216.54854,-5.76559999999999,0.0306599999999992,-23.825,142,102,167,17,1,18.33,0.47,18.33,0.47
average,11150,QB,88.4696666666667,132.792490948597,0.403333333333322,10.9273,218.9101,-6.81866666666666,-3.5611,-21.46344,150,279,158,18,1,23.67,0.94,23.67,0.94
average,13113,QB,88.0663333333334,131.33265297927,3.76220000000001,10.71294,217.14702,-7.22199999999998,-3.77546,-23.22652,157,288,165,19,1,20.33,0.47,20.33,0.47
average,14059,QB,84.3041333333333,127.026560303164,0.11333333333333,10.46684,209.04104,-10.9842,-4.02156,-31.3325,178,299,185,20,1,20.67,0.47,20.67,0.47
average,7836,QB,84.1908,123.474001796492,8.34366666666668,11.97788,205.49066,-11.0975333333333,-2.51052,-34.88288,179,238,192,21,1,26.33,1.7,26.33,1.7
average,10703,QB,75.8471333333333,114.236284753021,26.2664666666667,8.48478,188.13306,-19.4412,-6.00362,-52.24048,223,454,224,22,1,24.67,1.7,24.67,1.7
average,14067,QB,49.5806666666667,77.6325603425092,4.50066666666667,2.857,125.9806,-45.7076666666667,-11.6314,-114.39294,547,587,547,23,1,31.33,0.47,31.33,0.47
average,15238,QB,45.08,,5.1405,45.08,45.08,-50.2083333333333,30.5916,-195.29354,548,2,560,24,1,33.33,0.47,33.33,0.47
average,13424,QB,39.9395,52.7480445561729,0.779500000000006,6.37085,73.50815,-55.3488333333333,-8.11755,-166.86539,558,584,557,25,1,21,2,21,2
average,14063,QB,39.16,,7.8598,39.16,39.16,-56.1283333333333,24.6716,-201.21354,559,3,561,26,1,,,,
average,12616,QB,31.3002,39.0885800212799,0.4742,6.42438,56.17602,-63.9881333333333,-8.06402,-184.19752,560,583,558,27,1,29.33,0.47,29.33,0.47
average,13592,QB,30.826,34.4417570980344,10.9666,8.9074,52.7446,-64.4623333333333,-5.581,-187.62894,561,414,559,28,1,34,0.82,34,0.82
average,16152,QB,19.8594,,0.552600000000002,19.8594,19.8594,-75.4289333333333,5.371,-220.51414,562,20,562,29,1,4.67,0.47,4.67,0.47
average,16150,QB,19.3068,,1.9866,19.3068,19.3068,-75.9815333333333,4.8184,-221.06674,563,22,563,30,1,6,0,6,0
average,16581,QB,17.3202,,0.488399999999999,17.3202,17.3202,-77.9681333333333,2.8318,-223.05334,564,40,564,31,1,10.67,0.47,10.67,0.47
average,16579,QB,16.8318,,2.3434,16.8318,16.8318,-78.4565333333333,2.3434,-223.54174,565,48,565,32,1,15,0.82,15,0.82
average,16149,QB,14.4884,,0.535400000000001,14.4884,14.4884,-80.7999333333333,0,-225.88514,566,103,566,33,1,25,0.82,25,0.82
average,16582,QB,13.953,,0.972999999999999,13.953,13.953,-81.3353333333333,-0.535400000000001,-226.42054,567,143,567,34,1,31.67,0.47,31.67,0.47
average,13119,QB,12.98,,0.0125999999999991,12.98,12.98,-82.3083333333333,-1.5084,-227.39354,568,196,568,35,1,,,,
average,16148,QB,12.9674,,0.407400000000001,12.9674,12.9674,-82.3209333333333,-1.521,-227.40614,569,197,569,36,1,27.67,0.47,27.67,0.47
average,9207,QB,12.56,,0.44,12.56,12.56,-82.7283333333333,-1.9284,-227.81354,570,205,570,37,1,,,,
average,14069,QB,12.12,,0.440000000000001,12.12,12.12,-83.1683333333333,-2.3684,-228.25354,571,223,571,38,1,,,,
average,15252,QB,11.68,,0.18,11.68,11.68,-83.6083333333333,-2.8084,-228.69354,572,244,572,39,1,,,,
average,10413,QB,11.5,,0.92,11.5,11.5,-83.7883333333333,-2.9884,-228.87354,573,249,573,40,1,,,,
average,10313,QB,10.58,,0.5,10.58,10.58,-84.7083333333333,-3.9084,-229.79354,574,295,574,41,1,,,,
average,15692,QB,10.08,,0.299999999999999,10.08,10.08,-85.2083333333333,-4.4084,-230.29354,575,327,575,42,1,,,,
average,12141,QB,9.78,,0.140000000000001,9.78,9.78,-85.5083333333333,-4.7084,-230.59354,576,346,576,43,1,,,,
average,12610,QB,9.64,,0.0400000000000009,9.64,9.64,-85.6483333333333,-4.8484,-230.73354,577,353,577,44,1,,,,
average,14358,QB,9.6,,0.199999999999999,9.6,9.6,-85.6883333333333,-4.8884,-230.77354,578,356,578,45,1,,,,
average,12140,QB,9.4,,0.24,9.4,9.4,-85.8883333333333,-5.0884,-230.97354,579,366,579,46,1,,,,
average,13115,QB,9.4,,0,9.4,9.4,-85.8883333333333,-5.0884,-230.97354,579,366,579,46,1,,,,
average,15240,QB,9.16,,0.140000000000001,9.16,9.16,-86.1283333333333,-5.3284,-231.21354,580,391,580,47,1,,,,
average,15241,QB,9.02,,0.140000000000001,9.02,9.02,-86.2683333333333,-5.4684,-231.35354,581,412,581,48,1,,,,
average,9064,QB,8.88,,0.159999999999998,8.88,8.88,-86.4083333333333,-5.6084,-231.49354,582,418,582,49,1,,,,
average,15693,QB,8.72,,0.42,8.72,8.72,-86.5683333333333,-5.7684,-231.65354,583,425,583,50,1,,,,
average,15242,QB,8.3,,0.0200000000000014,8.3,8.3,-86.9883333333333,-6.1884,-232.07354,584,496,584,51,1,,,,
average,13598,QB,8.28,,0.239999999999998,8.28,8.28,-87.0083333333333,-6.2084,-232.09354,585,499,585,52,1,,,,
average,13124,QB,8.04,,0.380000000000001,8.04,8.04,-87.2483333333333,-6.4484,-232.33354,586,568,587,53,1,,,,
average,14057,QB,7.66,,0.1648,7.66,7.66,-87.6283333333333,-6.8284,-232.71354,587,575,588,54,1,,,,
average,16584,QB,7.4952,,0.6458,7.4952,7.4952,-87.7931333333333,-6.9932,-232.87834,588,578,589,55,1,29.67,0.47,29.67,0.47
average,16580,QB,6.8494,,0.7178,6.8494,6.8494,-88.4389333333333,-7.639,-233.52414,589,580,590,56,1,34.67,0.47,34.67,0.47
average,16159,QB,6.1316,,0.471600000000001,6.1316,6.1316,-89.1567333333333,-8.3568,-234.24194,590,585,591,57,1,36,0,36,0
average,15697,QB,5.66,,0.854000000000001,5.66,5.66,-89.6283333333333,-8.8284,-234.71354,591,586,592,58,1,,,,
average,11760,QB,4.806,5.28067344190114,0,1.4454,8.1666,-90.4823333333333,-13.043,-232.20694,592,590,586,59,1,,,,
average,13130,RB,107.018333333333,158.122229127765,7.62733333333334,15.1127,262.2896,64.6595568916333,8.7549,155.6547,2,11,1,1,1,1,0,1,0
average,13604,RB,99.391,153.21129646015,4.79000000000001,10.0953,249.8688,57.0322235582999,3.7375,143.2339,3,29,2,2,1,5,0,5,0
average,15708,RB,94.601,142.633518294264,4.17733333333332,12.2439,234.5961,52.2422235582999,5.8861,127.9612,4,17,3,3,1,2.33,0.47,2.33,0.47
average,14802,RB,90.4236666666667,135.685698326439,7.40266666666668,12.0371,223.6046,48.0648902249666,5.6793,116.9697,5,19,4,4,1,5,1.41,5,1.41
average,15710,RB,83.021,125.648027445718,1.407,9.5051,206.4602,40.6622235582999,3.1473,99.8253,6,32,6,5,1,5.67,1.25,5.67,1.25
average,12626,RB,81.614,122.185334271344,0.650499999999994,10.6246,201.5929,39.2552235582999,4.2668,94.958,7,26,7,6,1,9.33,4.03,9.33,4.03
average,13610,RB,80.9635,101.592152573415,3.90083333333334,16.31065,145.61635,38.6047235582999,9.95285000000001,38.98145,8,9,37,7,1,,,,
average,14073,RB,77.0626666666667,114.954609104348,2.34266666666666,10.3716,189.9297,34.7038902249666,4.0138,83.2948,11,27,10,8,1,16,0.82,16,0.82
average,13131,RB,74.72,112.050496402292,0.51100000000001,9.2604,184.7892,32.3612235582999,2.9026,78.1543,12,39,11,9,1,9.33,0.47,9.33,0.47
average,15253,RB,74.209,109.977432762363,0.923666666666676,10.7035,182.1526,31.8502235582999,4.3457,75.5177,13,24,12,10,1,9.67,0.47,9.67,0.47
average,15749,RB,73.2853333333333,109.916039709104,0.658333333333317,9.0136,181.2646,30.9265568916333,2.6558,74.6297,14,42,13,11,1,14,1.41,14,1.41
average,15715,RB,72.627,109.269091938205,2.252,9.4425,179.8863,30.2682235582999,3.0847,73.2514,16,34,14,12,1,13,1.41,13,1.41
average,15721,RB,70.375,104.98511784534,1.91933333333334,9.3629,173.4662,28.0162235583,3.0051,66.8313,19,35,18,13,1,10.67,1.89,10.67,1.89
average,15711,RB,68.4556666666667,100.934038511958,1.84633333333333,9.4935,167.6046,26.0968902249666,3.1357,60.9697,22,33,21,14,1,11.33,0.47,11.33,0.47
average,13146,RB,66.6093333333333,101.407857912162,1.85966666666667,7.3112,166.2305,24.2505568916333,0.9534,59.5956,24,76,22,15,1,17.67,0.94,17.67,0.94
average,12447,RB,64.7496666666667,99.1176497014197,1.54866666666666,7.2153,162.0711,22.3908902249666,0.8575,55.4362,27,79,24,16,1,22.33,2.05,22.33,2.05
average,14071,RB,63.201,93.877373487971,0.0630000000000095,8.6403,155.3853,20.8422235582999,2.2825,48.7504,31,51,27,17,1,19,1.41,19,1.41
average,13132,RB,63.138,92.5535002255452,1.16533333333333,8.7158,154.0946,20.7792235582999,2.358,47.4597,32,47,30,18,1,20.67,5.44,20.67,5.44
average,15714,RB,61.9726666666667,94.2510502028138,1.316,6.8806,154.5607,19.6138902249666,0.522800000000001,47.9258,34,90,29,19,1,21.67,1.7,21.67,1.7
average,15254,RB,60.6566666666667,90.6244190565288,2.027,8.0638,149.6374,18.2978902249666,1.706,43.0025,36,64,33,20,1,26,0.82,26,0.82
average,13319,RB,58.6296666666667,85.0183541379938,1.74466666666667,9.3489,142.0989,16.2708902249666,2.9911,35.464,41,37,43,21,1,19.67,1.7,19.67,1.7
average,14797,RB,56.885,82.4598285288055,1.01233333333332,8.9187,137.8626,14.5262235582999,2.5609,31.2277,47,43,49,22,1,22,0.82,22,0.82
average,14085,RB,55.8726666666667,83.4227969402449,0.32533333333334,7.4026,137.7892,13.5138902249666,1.0448,31.1543,51,73,50,23,1,24.33,1.25,24.33,1.25
average,15716,RB,55.5473333333333,86.1423382799268,0.606333333333332,4.5874,140.2363,13.1885568916333,-1.7704,33.6014,53,203,46,24,1,31,2.83,31,2.83
average,15259,RB,54.941,80.072219158707,0.755333333333333,8.5151,133.5557,12.5822235582999,2.1573,26.9208,57,53,56,25,1,20.67,1.7,20.67,1.7
average,14798,RB,54.1856666666667,84.8837554207714,4.323,4.8741,137.5359,11.8268902249666,-1.4837,30.901,58,195,51,26,1,31.33,0.94,31.33,0.94
average,15256,RB,49.8626666666667,73.2139614713842,0.441333333333333,7.1116,121.7797,7.5038902249666,0.753800000000001,15.1448,72,83,71,27,1,30,1.41,30,1.41
average,13850,RB,49.4213333333333,74.5681854233649,0.0670000000000073,4.9372,122.7688,7.06255689163327,-1.4206,16.1339,75,191,70,28,1,30,3.27,30,3.27
average,14080,RB,49.3543333333333,71.3152879566039,0.807999999999993,7.7707,119.3995,6.99555689163326,1.4129,12.7646,76,66,75,29,1,28.33,0.47,28.33,0.47
average,14800,RB,48.5463333333333,79.1146121796305,0.671666666666667,2.8291,126.202,6.18755689163327,-3.5287,19.5671,77,278,64,30,1,50,1.41,50,1.41
average,13404,RB,47.8746666666667,74.4429782943518,0.656666666666673,3.2368,121.1206,5.5158902249666,-3.121,14.4857,80,255,72,31,1,36.33,0.47,36.33,0.47
average,15742,RB,47.218,70.9184851220047,2.49733333333333,5.5034,116.9144,4.85922355829993,-0.854399999999999,10.2795,82,165,79,32,1,28.67,2.36,28.67,2.36
average,14823,RB,44.7206666666667,73.8551361066604,0.344000000000001,1.7634,117.2478,2.3618902249666,-4.5944,10.6129,90,343,78,33,1,41,1.41,41,1.41
average,15713,RB,44.3766666666667,63.2681188619777,2.0178902249666,6.3578,106.6349,2.0178902249666,0,0,92,103,103,34,1,37.67,0.47,37.67,0.47
average,13134,RB,42.3587764417001,72.4385492409839,4.05077644170007,-0.000103607409814604,113.5211,0,-6.35790360740981,6.88619999999999,103,536,88,35,2,48.67,5.79,48.67,5.79
average,15712,RB,38.308,58.6269585770915,1.09099999999999,3.9164,95.9144,-4.05077644170007,-2.4414,-10.7205,127,232,126,36,2,43.67,1.25,43.67,1.25
average,12625,RB,37.217,52.4811273030601,0.890000000000008,5.9315,88.8368,-5.14177644170006,-0.4263,-17.7981,133,135,145,37,2,32,1.41,32,1.41
average,15723,RB,36.327,54.7095622263604,0.596666666666664,4.6417,90.0364,-6.03177644170007,-1.7161,-16.5985,143,201,140,38,2,52.67,0.47,52.67,0.47
average,15261,RB,35.7303333333333,50.814629747085,1.676,5.8135,85.6723,-6.62844310836673,-0.5443,-20.9626,148,144,157,39,2,41,2.16,41,2.16
average,14852,RB,34.0543333333333,52.9581633965278,2.261,2.9315,86.0969,-8.30444310836673,-3.4263,-20.538,164,273,156,40,2,45.33,2.36,45.33,2.36
average,15271,RB,31.7933333333333,49.3843181013298,1.00033333333333,2.3132,80.3711,-10.5654431083667,-4.0446,-26.2638,175,301,173,41,2,55.33,1.89,55.33,1.89
average,14803,RB,30.793,54.2309536980496,1.25466666666667,-1.4117,84.1216,-11.5657764417001,-7.7695,-22.5133,185,582,162,42,2,59.33,6.02,59.33,6.02
average,15255,RB,29.5383333333333,49.9612525296688,1.96701351351351,-0.5513,78.7081,-12.8204431083667,-6.9091,-27.9268,191,577,177,43,2,63.67,4.99,63.67,4.99
average,15263,RB,27.5713198198198,42.736880938926,2.40078185328186,1.94299594594595,69.6211959459459,-14.7874566218802,-4.41480405405405,-37.0137040540541,203,329,196,44,2,47.67,2.05,47.67,2.05
average,14079,RB,25.170537966538,38.3327755291453,0.195204633204636,1.86445250965251,62.9145,-17.1882384751621,-4.49334749034749,-43.7204,212,336,211,45,2,53.33,3.09,53.33,3.09
average,14223,RB,24.9753333333333,38.3999431292982,0.775333333333329,1.9938,62.7537,-17.3834431083667,-4.364,-43.8812,213,324,212,46,2,56,1.63,56,1.63
average,15733,RB,24.2,,2.31317431192661,24.2,24.2,-18.1587764417001,17.8422,-82.4349,217,4,273,47,2,80.5,0.5,80.5,0.5
average,14805,RB,21.8868256880734,33.275086386882,0.865825688073393,2.08564770642202,54.612347706422,-20.4719507536267,-4.27215229357798,-52.022552293578,228,317,223,48,2,57.67,1.89,57.67,1.89
average,14086,RB,21.021,44.419717479966,0.175000000000001,-5.4021,64.7061,-21.3377764417001,-11.7599,-41.9288,232,588,207,49,2,68.33,3.77,68.33,3.77
average,11367,RB,20.846,28.6434814923047,0.402138067061141,2.6174,39.0746,-21.5127764417001,-3.7404,-67.5603,233,284,240,50,2,,,,
average,13726,RB,20.4438619329389,32.7874079994662,0.205117449779738,1.15915857988166,52.6661585798817,-21.9149145087612,-5.19864142011834,-53.9687414201184,234,377,227,51,2,91.5,1.5,91.5,1.5
average,13139,RB,20.2387444831591,33.9191484291328,0.180244483159122,0.215810104529617,53.5811,-22.1200319585409,-6.14198989547038,-53.0538,236,480,225,52,2,51.67,1.25,51.67,1.25
average,14319,RB,20.0585,40.7880404591836,1.26416666666666,-5.89885,46.01585,-22.3002764417001,-12.25665,-60.61905,238,589,233,53,2,,,,
average,13133,RB,18.7943333333333,46.0831544529379,0.995333333333335,-8.3881,64.0916,-23.5644431083667,-14.7459,-42.5433,242,591,208,54,2,80.67,4.19,80.67,4.19
average,12155,RB,17.799,24.4673088426169,0.810702970297026,2.2281,33.3699,-24.5597764417001,-4.1297,-73.265,249,304,256,55,2,,,,
average,15717,RB,16.988297029703,23.3083802364059,0.385797029702974,3.27848910891089,39.8949891089109,-25.3704794119971,-3.07931089108911,-66.7399108910891,252,251,239,56,2,62,0.82,62,0.82
average,15726,RB,16.6025,23.1895668890128,1.9165,1.84475,31.36025,-25.7562764417001,-4.51305,-75.27465,254,339,265,57,2,83,1,83,1
average,16161,RB,14.686,,0.0365000000000002,14.686,14.686,-27.6727764417001,8.3282,-91.9489,266,12,323,58,2,2.67,0.47,2.67,0.47
average,15972,RB,14.6495,20.0118290143605,0.1495,1.91405,27.38495,-27.7092764417001,-4.44375,-79.24995,267,333,267,59,2,88,1,88,1
average,15960,RB,14.5,,0.382,14.5,14.5,-27.8587764417001,8.1422,-92.1349,268,14,324,60,2,,,,
average,13143,RB,14.118,19.7735340291006,0.397,1.5342,26.7018,-28.2407764417001,-4.8236,-79.9331,271,350,269,61,2,,,,
average,13622,RB,13.721,18.2136564698031,0.737,2.1299,25.3121,-28.6377764417001,-4.2279,-81.3228,272,314,271,62,2,,,,
average,16162,RB,12.984,,0.375,12.984,12.984,-29.3747764417001,6.6262,-93.6509,273,15,325,63,2,7.33,0.94,7.33,0.94
average,16167,RB,12.609,,0.315261603375525,12.609,12.609,-29.7497764417001,6.2512,-94.0259,275,16,326,64,2,15,0.82,15,0.82
average,15257,RB,12.2937383966245,19.0645816239552,0.419738396624474,0.889321518987342,31.0492215189873,-30.0650380450756,-5.46847848101266,-75.5856784810127,277,413,266,65,2,72.67,1.7,72.67,1.7
average,14017,RB,11.874,15.1688546700138,0.9765,2.2206,21.5274,-30.4847764417001,-4.1372,-85.1075,278,306,277,66,2,90.5,4.5,90.5,4.5
average,15730,RB,10.8975,15.1356206512981,2.51410750853242,1.26525,20.52975,-31.4612764417001,-5.09255,-86.10515,281,367,280,67,2,,,,
average,11225,RB,8.38339249146758,11.3246830614226,0.150392491467576,1.83381774744027,19.4999177474403,-33.9753839502325,-4.52398225255973,-87.1349822525597,289,340,286,68,2,94,0,94,0
average,16181,RB,8.233,,0.139866666666668,8.233,8.233,-34.1257764417001,1.8752,-98.4019,290,60,327,69,2,33,1.41,33,1.41
average,15258,RB,8.09313333333333,12.4024313202425,0.00630980392156744,0.49754,20.30924,-34.2656431083667,-5.86026,-86.32566,291,436,282,70,2,95,3,95,3
average,15709,RB,8.08682352941177,12.7530538432455,0.14338266919671,0.30524705882353,20.6461470588235,-34.2719529122883,-6.05255294117647,-85.9887529411765,293,462,279,71,2,,,,
average,14727,RB,7.94344086021506,12.2774864140666,0.451440860215055,0.340232258064516,20.0421322580645,-34.415335581485,-6.01756774193548,-86.5927677419355,294,456,283,72,2,,,,
average,16165,RB,7.492,,1.092,7.492,7.492,-34.8667764417001,1.1342,-99.1429,301,71,329,73,2,35.33,1.7,35.33,1.7
average,16593,RB,6.4,,0.837,6.4,6.4,-35.9587764417001,0.0422000000000002,-100.2349,332,101,330,74,2,39.67,0.94,39.67,0.94
average,16594,RB,5.563,,0.254,5.563,5.563,-36.7957764417001,-0.7948,-101.0719,334,161,332,75,2,36.67,2.36,36.67,2.36
average,16169,RB,5.309,,0.422,5.309,5.309,-37.0497764417001,-1.0488,-101.3259,335,177,333,76,2,42,2.16,42,2.16
average,16390,RB,4.887,,0.634,4.887,4.887,-37.4717764417001,-1.4708,-101.7479,340,193,335,77,2,46,0.82,46,0.82
average,16604,RB,4.253,,0.339,4.253,4.253,-38.1057764417001,-2.1048,-102.3819,343,211,337,78,2,63.33,2.49,63.33,2.49
average,16757,RB,3.914,,0.216,3.914,3.914,-38.4447764417001,-2.4438,-102.7209,344,233,338,79,2,60.67,0.47,60.67,0.47
average,16164,RB,3.698,,0.175,3.698,3.698,-38.6607764417001,-2.6598,-102.9369,346,243,341,80,2,59.67,2.05,59.67,2.05
average,16598,RB,3.523,,0.016,3.523,3.523,-38.8357764417001,-2.8348,-103.1119,347,246,344,81,2,67,2.94,67,2.94
average,16603,RB,3.507,,0.279,3.507,3.507,-38.8517764417001,-2.8508,-103.1279,348,247,345,82,2,50.33,6.34,50.33,6.34
average,16178,RB,3.228,,0.0089999999999999,3.228,3.228,-39.1307764417001,-3.1298,-103.4069,351,256,347,83,2,,,,
average,16175,RB,3.219,,0.0230000000000001,3.219,3.219,-39.1397764417001,-3.1388,-103.4159,352,257,348,84,2,51,4.08,51,4.08
average,16747,RB,3.196,,0.0680000000000001,3.196,3.196,-39.1627764417001,-3.1618,-103.4389,353,258,350,85,2,65.67,1.25,65.67,1.25
average,16171,RB,3.128,,0.0590000000000002,3.128,3.128,-39.2307764417001,-3.2298,-103.5069,354,261,351,86,2,56.67,6.6,56.67,6.6
average,16596,RB,3.069,,0.457,3.069,3.069,-39.2897764417001,-3.2888,-103.5659,356,266,352,87,2,73,1,73,1
average,16601,RB,2.612,,0.097,2.612,2.612,-39.7467764417001,-3.7458,-104.0229,360,285,353,88,2,68,1.63,68,1.63
average,16613,RB,2.515,,0.0429999999999997,2.515,2.515,-39.8437764417001,-3.8428,-104.1199,361,289,354,89,2,75,1.63,75,1.63
average,16595,RB,2.472,,0.471,2.472,2.472,-39.8867764417001,-3.8858,-104.1629,362,292,355,90,2,69.67,1.7,69.67,1.7
average,13617,RB,2.001,,0.4145,2.001,2.001,-40.3577764417001,-4.3568,-104.6339,367,322,360,91,2,78,0,78,0
average,14095,RB,1.5865,1.37673690297021,0.2805,0.71035,2.46265,-40.7722764417001,-5.64745,-104.17225,370,421,356,92,2,89,1,89,1
average,15719,RB,1.306,1.48492424049175,0.111,0.361,2.251,-41.0527764417001,-5.9968,-104.3839,376,452,358,93,2,,,,
average,16380,RB,1.195,,0.0730000000000002,1.195,1.195,-41.1637764417001,-5.1628,-105.4399,377,372,367,94,2,,,,
average,16180,RB,1.122,,0.089,1.122,1.122,-41.2367764417001,-5.2358,-105.5129,379,379,368,95,2,70.67,1.7,70.67,1.7
average,16173,RB,1.033,,0.0926238532110091,1.033,1.033,-41.3257764417001,-5.3248,-105.6019,380,390,370,96,2,76.33,2.05,76.33,2.05
average,14799,RB,0.940376146788991,0.860373797813276,0.0313761467889908,0.392837614678899,1.48791467889908,-41.4184002949111,-5.9649623853211,-105.146985321101,383,450,364,97,2,,,,
average,16610,RB,0.909,,0.2582,0.909,0.909,-41.4497764417001,-5.4488,-105.7259,384,410,371,98,2,57.67,5.73,57.67,5.73
average,13148,RB,0.6508,0.62338533829406,0.0938,0.25408,1.04752,-41.7079764417001,-6.10372,-105.58738,387,471,369,99,2,,,,
average,15414,RB,0.557,,0.02,0.557,0.557,-41.8017764417001,-5.8008,-106.0779,391,428,376,100,2,,,,
average,14331,RB,0.537,,0.037,0.537,0.537,-41.8217764417001,-5.8208,-106.0979,392,430,377,101,2,75,2,75,2
average,14821,RB,0.5,,0.0439999999999999,0.5,0.5,-41.8587764417001,-5.8578,-106.1349,393,435,378,102,2,,,,
average,16391,RB,0.456,,0.0270000000000001,0.456,0.456,-41.9027764417001,-5.9018,-106.1789,395,439,379,103,2,,,,
average,16166,RB,0.429,,0.014,0.429,0.429,-41.9297764417001,-5.9288,-106.2059,396,441,380,104,2,,,,
average,14076,RB,0.415,,0.00499999999999995,0.415,0.415,-41.9437764417001,-5.9428,-106.2199,397,444,381,105,2,,,,
average,15734,RB,0.41,,0.002,0.41,0.41,-41.9487764417001,-5.9478,-106.2249,398,445,382,106,2,,,,
average,16168,RB,0.408,,0.005,0.408,0.408,-41.9507764417001,-5.9498,-106.2269,399,446,383,107,2,82,1,82,1
average,15462,RB,0.403,,0.002,0.403,0.403,-41.9557764417001,-5.9548,-106.2319,401,447,384,108,2,,,,
average,16176,RB,0.401,,0.073,0.401,0.401,-41.9577764417001,-5.9568,-106.2339,402,448,385,109,2,82,2,82,2
average,13378,RB,0.328,,0.00700000000000001,0.328,0.328,-42.0307764417001,-6.0298,-106.3069,404,457,387,110,2,,,,
average,15454,RB,0.321,,0.002,0.321,0.321,-42.0377764417001,-6.0368,-106.3139,405,459,388,111,2,,,,
average,15103,RB,0.319,,0.035,0.319,0.319,-42.0397764417001,-6.0388,-106.3159,406,460,389,112,2,,,,
average,15054,RB,0.284,,0.024,0.284,0.284,-42.0747764417001,-6.0738,-106.3509,408,464,390,113,2,96,0,96,0
average,12325,RB,0.26,,0.00700000000000001,0.26,0.26,-42.0987764417001,-6.0978,-106.3749,409,468,391,114,2,,,,
average,15276,RB,0.253,,0.003,0.253,0.253,-42.1057764417001,-6.1048,-106.3819,410,472,392,115,2,,,,
average,14815,RB,0.25,,0.004,0.25,0.25,-42.1087764417001,-6.1078,-106.3849,411,473,393,116,2,89.5,1.5,89.5,1.5
average,13838,RB,0.246,,0.01,0.246,0.246,-42.1127764417001,-6.1118,-106.3889,412,474,394,117,2,,,,
average,15729,RB,0.236,,0.019,0.236,0.236,-42.1227764417001,-6.1218,-106.3989,413,475,395,118,2,,,,
average,14808,RB,0.217,,0.001,0.217,0.217,-42.1417764417001,-6.1408,-106.4179,415,478,396,119,2,,,,
average,13814,RB,0.216,,0.00400000000000003,0.216,0.216,-42.1427764417001,-6.1418,-106.4189,416,479,397,120,2,,,,
average,14083,RB,0.212,,0.000999999999999973,0.212,0.212,-42.1467764417001,-6.1458,-106.4229,417,481,398,121,2,,,,
average,14827,RB,0.211,,0.004,0.211,0.211,-42.1477764417001,-6.1468,-106.4239,418,483,399,122,2,,,,
average,14420,RB,0.207,,0.002,0.207,0.207,-42.1517764417001,-6.1508,-106.4279,419,484,400,123,2,,,,
average,16163,RB,0.207,,0,0.207,0.207,-42.1517764417001,-6.1508,-106.4279,419,484,400,123,2,,,,
average,15275,RB,0.205,,0.001,0.205,0.205,-42.1537764417001,-6.1528,-106.4299,420,485,401,124,2,,,,
